OBJECTID_1,WorldID,Zone_Name,World,Adm4ID,Adm3ID,Adm2ID,Adm1ID,CntyID,Levels,Adm4_Name,Adm3_Name,Adm2_Name,Adm1_Name,Cnty_Name,Composite,RegionYWAM,GlobalID,FieldYWAM,Population,PopPct,Name,OZcount,Shape_Leng,Cen_x,Cen_y,Shape_Le_1,Shape_Area,OZ_Label,OZ_Label1
725,CHN-HEB-SHI-JIG,Jingxing Xian,B,,CHN-HEB-SHI-JIG,CHN-HEB-SHI,CHN-HEB,CHN,3,,Jingxing Xian,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{582DBB77-D8BF-4FAA-8B5D-47A83E9B9D59},Asia and Pacific Field,321716.42966800000,0.02404094671,,1,1.79379927554,114.06133622800,37.98818020080,1.79379927554,0.14455839904,Jingxing Xian,Jingxing Xian
726,CHN-HEB-SHI-JIZ,"Jinzhou Shi, Shijiazhuang Shi",B,,CHN-HEB-SHI-JIZ,CHN-HEB-SHI,CHN-HEB,CHN,3,,Jinzhou Shi,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{7ABE509C-8C95-41D6-999A-86F29D1F5358},Asia and Pacific Field,3130001.35670000000,0.23389603040,,1,1.03631775267,115.07695443300,37.98456357940,1.03631775267,0.06303982102,"Jinzhou Shi, Shijiazhuang Shi","Jinzhou Shi, Shijiazhuang Shi"
727,CHN-HEB-SHI-LIN,Lingshou Xian,B,,CHN-HEB-SHI-LIN,CHN-HEB-SHI,CHN-HEB,CHN,3,,Lingshou Xian,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{6D44DD18-1350-4CB7-9806-D95561A598C7},Asia and Pacific Field,306827.41845200000,0.02292833357,,1,1.92134057189,114.17459061000,38.50212362200,1.92134057189,0.10538451873,Lingshou Xian,Lingshou Xian
728,CHN-HEB-SHI-LUA,Luancheng Xian,B,,CHN-HEB-SHI-LUA,CHN-HEB-SHI,CHN-HEB,CHN,3,,Luancheng Xian,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{0F9077AD-042E-4469-B868-87B49F02BF1C},Asia and Pacific Field,560929.02505100000,0.04191661835,,1,1.04198085606,114.61389319000,37.92273127490,1.04198085606,0.04720007756,Luancheng Xian,Luancheng Xian
839,NLD-LIM,Limburg,C,,,,NLD-LIM,NLD,1,,,,Limburg,Netherlands,0,Western Europe Region,{AC3E9467-FB74-464F-A7BC-6B43F762AD41},"Europe, Middle East and North Africa Field",1168900.68257000000,7.01915980645,,1,4.77410249277,5.93839693417,51.21155071390,4.77410249277,0.28842061042,Limburg,Limburg
840,NLD-NOB,Noord-Brabant,C,,,,NLD-NOB,NLD,1,,,,Noord-Brabant,Netherlands,0,Western Europe Region,{3B5C50C8-D844-424C-92EE-3BD290165CDE},"Europe, Middle East and North Africa Field",2466747.07406000000,14.81262880000,,1,5.78948174381,5.19484253702,51.56246449880,5.78948174381,0.65175888425,Noord-Brabant,Noord-Brabant
841,NLD-NOH,Noord-Holland,C,,,,NLD-NOH,NLD,1,,,,Noord-Holland,Netherlands,0,Western Europe Region,{F3BE1322-A84E-410F-9AF2-2036D30B1DCE},"Europe, Middle East and North Africa Field",2648578.46662000000,15.90451250000,,1,5.47657625328,4.87394736497,52.58753006000,5.47657625328,0.38047549260,Noord-Holland,Noord-Holland
842,NLD-UTR,Utrecht,C,,,,NLD-UTR,NLD,1,,,,Utrecht,Netherlands,0,Western Europe Region,{58AEACDF-95FC-438E-BB4D-E6E366F0B112},"Europe, Middle East and North Africa Field",1189367.54282000000,7.14206174755,,1,3.22316059763,5.17270899052,52.10380390170,3.22316059763,0.18717980695,Utrecht,Utrecht
843,NLD-ZEE,Zeeland,C,,,,NLD-ZEE,NLD,1,,,,Zeeland,Netherlands,0,Western Europe Region,{A5C43A8F-046E-41A2-8FF2-5DD3B13665E2},"Europe, Middle East and North Africa Field",388479.03050100000,2.33278706840,,1,7.36603315934,3.82806750971,51.45603007410,7.36603315934,0.24022163985,Zeeland,Zeeland
844,NLD-ZUI,Zuid-Holland,C,,,,NLD-ZUI,NLD,1,,,,Zuid-Holland,Netherlands,0,Western Europe Region,{941CFFA0-D002-4F05-863A-7170A03390AA},"Europe, Middle East and North Africa Field",3535814.60259000000,21.23229810000,,1,6.06822216689,4.51080261306,51.94853065670,6.06822216689,0.40463175605,Zuid-Holland,Zuid-Holland
845,NLD-OVE,Overijssel,C,,,,NLD-OVE,NLD,1,,,,Overijssel,Netherlands,0,Western Europe Region,{A5C5ED26-38A6-4408-9E19-D050856F0E8F},"Europe, Middle East and North Africa Field",1132124.29305000000,6.79832038104,,1,4.74536114217,6.44323983328,52.44582209110,4.74536114217,0.45288885451,Overijssel,Overijssel
846,NLD-FLE,Flevoland,C,,,,NLD-FLE,NLD,1,,,,Flevoland,Netherlands,0,Western Europe Region,{453523AF-5BED-4F8D-A671-F7ED804CAB1E},"Europe, Middle East and North Africa Field",367191.73850100000,2.20495849697,,1,2.97465667039,5.59529468952,52.52647724560,2.97465667039,0.19911854038,Flevoland,Flevoland
1317,IND-TAM-DHA,Dharmapuri,B,,,IND-TAM-DHA,IND-TAM,IND,2,,,Dharmapuri,Tamil Nadu,India,0,South Subcontinent Region,{2307AC25-0453-4BDE-B2C5-D9E5F2C1DAC7},South and Central Asia Field,3350994.61747000000,0.27592375052,,1,5.38305986878,78.12414303180,12.30690468460,5.38305986878,0.82313085103,Dharmapuri,Dharmapuri
1318,IND-KAR-MAN,Mandya,B,,,IND-KAR-MAN,IND-KAR,IND,2,,,Mandya,Karnataka,India,0,South Subcontinent Region,{E3DC5EDC-2D75-42F0-8640-9C8AD7307CA6},South and Central Asia Field,2083651.13150000000,0.17156960861,,1,6.18054272737,76.89535285170,12.93335880100,6.18054272737,0.52502539217,Mandya,Mandya
1319,IND-TAM-CHE,Chennai,B,,,IND-TAM-CHE,IND-TAM,IND,2,,,Chennai,Tamil Nadu,India,0,South Subcontinent Region,{A57037CE-0049-46A7-8E03-16073E9C7976},South and Central Asia Field,4986739.32527000000,0.41061236276,,1,0.54509328729,80.24467178760,13.07059248680,0.54509328729,0.01298400252,Chennai,Chennai
1320,IND-KAR-BAU-Z02,Bangalore South,B,,,IND-KAR-BAU,IND-KAR,IND,2,,,Bangalore Urban,Karnataka,India,1,South Subcontinent Region,{7B32B828-93F9-4ADA-9DC2-11A7CE7E152C},South and Central Asia Field,2977260.27575000000,0.24515014655,,1,1.90923585709,77.62598829610,12.87942498150,1.90923585709,0.11775250062,Bangalore South,Bangalore South
1321,IND-UTP-FAT,Fatehpur,A,,,IND-UTP-FAT,IND-UTP,IND,2,,,Fatehpur,Uttar Pradesh,India,0,North Indian Region,{DB012089-0637-41CD-8FC0-F51043DFC3F7},South and Central Asia Field,2727214.05774000000,0.22456112802,,1,3.66007181403,80.80791803230,25.87518496400,3.66007181403,0.38224500509,Fatehpur,Fatehpur
1322,IND-ASS-GOA,Goalpara,B,,,IND-ASS-GOA,IND-ASS,IND,2,,,Goalpara,Assam,India,0,South Asia: Northeast Region,{2584DA4F-D9DE-4778-B0B8-EA1B897D5E4B},South and Central Asia Field,972573.46020200000,0.08008252696,,1,2.49475663989,90.61772941050,26.05259225100,2.49475663989,0.17720987811,Goalpara,Goalpara
1323,IND-MAD-DAT,Datia,A,,,IND-MAD-DAT,IND-MAD,IND,2,,,Datia,Madhya Pradesh,India,0,South Asia: West and Central Region,{B036D410-D06A-4392-B741-12D949CCFBAD},South and Central Asia Field,742544.39206000000,0.06114173759,,1,2.76114316469,78.59563641800,25.82043932780,2.76114316469,0.18049075232,Datia,Datia
1324,IND-UTP-BAL-Z01,Ballia North,A,,,IND-UTP-BAL,IND-UTP,IND,2,,,Ballia,Uttar Pradesh,India,1,North Indian Region,{558D0BDF-D1FB-4D33-9DDE-1EFDF54452E7},South and Central Asia Field,1667716.08279000000,0.13732116249,,1,2.91178485001,84.11633767510,25.98198917530,2.91178485001,0.15572973678,Ballia North,Ballia North
216,CHN-JIL-SIP,Siping Shi,B,,,CHN-JIL-SIP,CHN-JIL,CHN,2,,,Siping Shi,Jilin Province,China,0,East Asia Region,{B40F687F-721A-4D81-B900-873DE507CC95},Asia and Pacific Field,3484596.22323000000,0.26039388846,,1,8.40076955576,124.47698524700,43.57095811490,8.40076955576,1.59237216766,Siping Shi,Siping Shi
217,CHN-JIL-SON,Songyuan Shi,B,,,CHN-JIL-SON,CHN-JIL,CHN,2,,,Songyuan Shi,Jilin Province,China,0,East Asia Region,{36A8D334-A630-4E82-B018-3FAF891C52AD},Asia and Pacific Field,2941195.37942000000,0.21978710086,,1,9.50237652674,124.47848978300,44.80314291870,9.50237652674,2.41708609803,Songyuan Shi,Songyuan Shi
218,CHN-JIL-TON,Tonghua Shi,B,,,CHN-JIL-TON,CHN-JIL,CHN,2,,,Tonghua Shi,Jilin Province,China,0,East Asia Region,{CA1D7E88-BC32-4218-891F-9AF6CFAE4702},Asia and Pacific Field,2443138.67208000000,0.18256875061,,1,8.46096603747,125.95331092000,41.95582283530,8.46096603747,1.68469831350,Tonghua Shi,Tonghua Shi
